open,high,low,close,volume,dividends,stock splits,capital gains,symbol
312.25976027176176,315.4628088899853,312.1294185105103,314.9786376953125,42207800,0.0,0.0,0.0,SPY
314.6433750888908,316.31937595238986,314.2988375949108,316.0959167480469,55106600,0.0,0.0,0.0,SPY
318.55422153366385,319.3736102697538,316.06815132557307,319.29913330078125,48588700,0.0,0.0,0.0,SPY
319.86699505728615,320.500148536272,318.6937771755715,320.4163513183594,38463400,0.0,0.0,0.0,SPY
321.01225329959675,323.89869638994253,320.4628970851288,323.6286926269531,50790200,0.0,0.0,0.0,SPY
324.50401813809793,325.7982576806448,322.6603938431942,324.3363952636719,58034100,0.0,0.0,0.0,SPY
325.3699365435357,326.5617666679802,324.1687861444132,326.431396484375,48588900,0.0,0.0,0.0,SPY
326.2171804416808,327.1017254475486,325.0160303262566,325.2488098144531,66099200,0.0,0.0,0.0,SPY
326.0869305273795,328.41472626767614,325.1837446435254,328.31231689453125,54908700,0.0,0.0,0.0,SPY
330.23965699990765,334.0386062067138,329.08505127544817,333.0609436035156,69540000,0.0,0.0,0.0,SPY
331.3570073755162,331.8318867190645,318.99175963382544,321.5989074707031,148011100,0.0,0.0,0.0,SPY
322.2879227999544,323.8708065712625,311.80352356591766,318.97314453125,139156300,0.0,0.0,0.0,SPY
313.5167562507004,319.0383079814321,309.9505865584041,310.2578430175781,114465300,0.0,0.0,0.0,SPY
314.2989195800577,318.8707130978866,313.4236662474527,316.3846435546875,91462300,0.0,0.0,0.0,SPY
318.27481234408083,318.9358982731925,309.92268141530946,310.89105224609375,90569500,0.0,0.0,0.0,SPY
312.6880320311082,313.75881197422314,308.2000367606823,311.04925537109375,84680200,0.0,0.0,0.0,SPY
314.243054494716,316.93399958031324,311.19830838207776,315.146240234375,65605700,0.0,0.0,0.0,SPY
317.62304012570553,318.4610408339248,315.1555825454873,316.7384948730469,52920900,0.0,0.0,0.0,SPY
317.9861860651773,319.42940791121333,315.202123320364,315.4814758300781,82096000,0.0,0.0,0.0,SPY
